,host_listings_count,host_total_listings_count,latitude,longitude,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,last_scraped,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,property_type,room_type,bathrooms_text,price,has_availability,calendar_last_scraped,first_review,last_review,instant_bookable
0,2,2,59.31389,18.06087,2,1.0,1.0,2.0,2,120,2,2,120,120,27,57,87,177,430,30,1,4.86,4.87,4.79,4.95,4.97,4.84,4.76,,2,0,2,0,2024-12-30,2011-07-06,within an hour,100%,100%,t,t,t,Private room in rental unit,Private room,1 shared bath,$944.00,t,2024-12-30,2011-07-30,2024-12-09,f
1,2,4,59.33351,18.03693,1,1.0,1.0,1.0,2,20,2,2,20,20,25,55,85,360,64,1,0,4.68,4.7,4.63,4.87,4.88,4.81,4.7,,2,1,1,0,2024-12-30,2011-02-27,within a day,100%,15%,f,t,t,Private room in rental unit,Private room,1 shared bath,$414.00,t,2024-12-30,2011-09-29,2024-08-30,f
2,1,1,59.33872,18.05131,2,1.0,1.0,2.0,1,60,1,1,60,60,28,58,88,88,110,0,0,4.79,4.65,4.71,4.85,4.95,4.85,4.64,,1,1,0,0,2024-12-30,2011-10-05,within a few hours,100%,0%,f,t,t,Entire rental unit,Entire home/apt,1 bath,"$1,320.00",t,2024-12-30,2011-11-28,2016-12-13,f
3,2,2,59.31198,18.06076,1,1.0,1.0,1.0,2,300,2,2,300,300,30,60,90,180,414,24,1,4.9,4.88,4.84,4.96,4.98,4.89,4.84,,2,0,2,0,2024-12-30,2011-07-06,within an hour,100%,100%,t,t,t,Private room in rental unit,Private room,1 shared bath,$814.00,t,2024-12-30,2012-02-13,2024-12-01,f
4,3,3,59.30543,18.10771,4,2.0,3.0,3.0,6,30,6,6,30,30,2,2,2,9,4,0,0,5.0,5.0,5.0,5.0,4.75,5.0,5.0,,2,2,0,0,2024-12-30,2011-11-22,within a few hours,100%,100%,f,t,t,Entire rental unit,Entire home/apt,2 baths,"$2,750.00",t,2024-12-30,2012-07-19,2017-07-31,f
5,1,1,59.31846,18.07042,4,1.0,0.0,2.0,2,30,2,2,1125,1125,0,0,0,165,665,41,0,4.66,4.76,4.38,4.92,4.95,4.96,4.58,,1,1,0,0,2024-12-30,2011-12-28,within a few hours,100%,98%,t,t,t,Entire rental unit,Entire home/apt,1 bath,"$1,190.00",t,2024-12-30,2013-06-16,2024-10-03,f
6,1,20,59.30318,17.99521,4,1.0,1.0,2.0,3,1125,3,3,1125,1125,17,35,35,236,68,10,0,4.47,4.38,4.4,4.67,4.71,4.38,4.42,,1,1,0,0,2024-12-30,2011-10-22,within an hour,100%,100%,f,t,t,Entire rental unit,Entire home/apt,1.5 baths,,t,2024-12-30,2012-02-21,2024-09-21,t
7,2,2,59.27635,17.99165,2,1.0,1.0,1.0,1,1125,1,1,1125,1125,30,60,90,365,38,5,0,4.63,4.49,4.7,4.7,4.59,4.46,4.59,,2,1,1,0,2024-12-30,2012-01-01,within a few hours,67%,56%,f,t,t,Private room in home,Private room,1 shared bath,$750.00,t,2024-12-30,2012-07-09,2024-11-06,f
8,2,3,59.34685,18.06056,4,1.5,3.0,4.0,5,60,5,5,60,60,27,56,82,325,97,5,0,4.97,4.92,4.8,4.97,4.98,4.98,4.87,,1,1,0,0,2024-12-30,2012-01-02,within a day,100%,41%,f,t,t,Entire rental unit,Entire home/apt,1.5 baths,"$4,300.00",t,2024-12-30,2012-06-18,2024-09-03,f
9,1,4,59.34283,18.0493,1,1.0,1.0,1.0,80,180,80,80,180,180,27,57,87,177,51,0,0,4.9,4.92,4.8,4.92,4.94,4.92,4.73,,1,1,0,0,2024-12-30,2011-12-25,,,,f,t,t,Entire loft,Entire home/apt,1 bath,$900.00,t,2024-12-30,2012-06-04,2019-09-26,f
10,1,1,59.31352,18.09072,2,1.0,1.0,1.0,3,14,3,3,14,14,5,5,5,95,16,5,0,4.88,4.63,4.69,4.87,4.88,4.87,4.8,,1,1,0,0,2024-12-30,2012-01-29,,,78%,f,t,t,Entire rental unit,Entire home/apt,1 bath,"$1,400.00",t,2024-12-30,2012-02-12,2024-09-29,f
11,1,3,59.24656,18.17775,1,1.0,1.0,1.0,1,1125,1,1,1125,1125,27,57,87,177,25,6,1,4.19,4.08,4.17,4.54,4.63,4.17,4.0,,1,1,0,0,2024-12-30,2011-06-26,within an hour,100%,100%,f,t,t,Entire guesthouse,Entire home/apt,1 bath,$360.00,t,2024-12-30,2012-05-08,2024-12-03,f
12,1,1,59.25094,18.09676,6,1.0,4.0,2.0,8,45,8,8,45,45,0,0,0,0,9,1,0,4.22,4.44,3.78,4.75,4.75,4.25,4.25,,1,1,0,0,2024-12-30,2012-03-15,,,33%,f,t,f,Entire townhouse,Entire home/apt,1.5 baths,,t,2024-12-30,2015-07-06,2024-07-31,f
13,3,23,59.26424,18.02277,1,2.0,1.0,1.0,1,150,1,1,150,150,30,60,90,365,44,11,0,4.75,4.73,4.86,4.93,4.95,4.61,4.66,,3,1,1,1,2024-12-30,2011-08-03,within an hour,100%,89%,t,t,t,Private room in townhouse,Private room,2 shared baths,$350.00,t,2024-12-30,2012-06-01,2024-11-25,f
